code,title,price,image_url,description,colour,material,category,style,room,Height,Depth,Width
BWL001,Somerton Curved Solid Oak Large Sideboard,579,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_large_sideboard_front_updated_new.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Sideboards,Mid Century Modern,Living Room,82cm,43cm,140cm
BWL003,Somerton Curved Solid Oak Large TV Unit,499,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_wide_tv_unit_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,TV Units,Mid Century Modern,Living Room,55cm,43cm,140cm
BWL011,Somerton Curved Solid Oak Nest of Tables,229,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_nest_of_table_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Nest of Tables,Mid Century Modern,Living Room,56cm/49cm,43cm/43cm,60cm/44cm
BWL006,Somerton Curved Solid Oak Small Bookcase,369,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_small_bookcase_-_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Bookcases,Mid Century Modern,Living Room,110cm,35cm,85cm
BWL002,Somerton Curved Solid Oak Small Sideboard,399,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_hallway_sideboard_front_updated_new.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Sideboards,Mid Century Modern,Living Room,82cm,43cm,95cm
BWL004,Somerton Curved Solid Oak Small TV Unit,419,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_corner_tv_unit_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,TV Units,Mid Century Modern,Living Room,55cm,43cm,93cm
BWL023,Somerton Curved Solid Oak Super King Size Bed,679,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_super_king_bed_angled_dressed.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Beds,Mid Century Modern,Bedroom,112cm,216cm,190.4cm
BWL005,Somerton Curved Solid Oak Tall Bookcase,649,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_all_bookcase_-_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Bookcases,Mid Century Modern,Living Room,190cm,35cm,85cm
BWL021,Somerton Curved Solid Oak Triple Wardrobe,979,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_triple_wardrobe_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Wardrobes,Mid Century Modern,Bedroom,190cm,66cm,150cm
BWL014,Somerton Curved Solid Oak Wide Chest of Drawers,599,https://www.oakandmore.co.uk/static/media/catalog/product/s/o/somerton_6_drawer_chest_front_ss.jpg,"The Somerton Solid Oak Collection features stunning items crafted from 100% solid oak and finished with a clear lacquer. Built to last, with subtle curves, recessed handles, and soft-close hinges, this sturdy oak range suits any space.",Oak,Oak,Chest of Drawers,Mid Century Modern,Bedroom,77cm,43cm,140cm
